By downloading this data it is implied that you have read and agreed to the Disclaimer Document
and will abide by its terms and conditions.

This report was generated at 06:07:25 on 19 June 2017.

WELL HEADER DATA
ORDERED BY WELL NAME
WELL NAME,WELL ALIAS,ENO,UNO,STATE,LATITUDE(Dec Deg;GDA94),LONGITUDE(Dec Deg;GDA94),UTM ZONE,EASTING,NORTHING,ORIGINAL GEOGRAPHIC DATUM,BASIN/SUB-BASIN (WCR),BASIN/SUB-BASIN (GA),WELL STATUS,TOTAL DEPTH DATE,TOTAL DEPTH(mKB),WELL TYPE,PLATFORM,FIELD,LOCATION,ELEVATION/WATER DEPTH(m),TITLE,LAW,OPERATOR,CONTRACTOR,RIGMAKE/RIGMODEL,SPUD DATE,RIG RELEASE DATE,KELLY BUSHING/ROTARY TABLE,KB/RT HEIGHT(m),REMARK,OBJECTIVE (WCR),SUMMARY (WCR),RESFACS_SAMPLES,ORGCHEM_SAMPLES,STRATDAT_SAMPLES,CUTTINGS,CONVENTIONAL_CORES,UNSPECIFIED_CORES,SIDEWALL_BULLET_CORES,SIDEWALL_MECHANICAL_CORES
"Corallina 3","",10077,"W8980011","AC",-10.5917549,125.9608099,Longitude / Latitude (GDA 94),51,824022.569,"8827619.93","Bonaparte Basin/Flamingo High;Laminaria","Bonaparte Basin/Laminaria High","abandoned","27-JUN-1998",3442,"development","","none","off",-408,"AC/L5","PSLA","Woodside Offshore Petroleum","Sedco Forex","","16-MAR-1998","27-JUN-1998","rotary table",30.5,"Deviated well as Corallina 3 DW 1.","Petroleum","","2","","","0","0","0","0","0"
"Corallina 3 ST1","",10078,"W8980015","AC",-10.591755,125.96081,Longitude / Latitude (GDA 94),51,824022.58,"8827619.918","Bonaparte Basin/Flamingo High;Laminaria","Bonaparte Basin/Laminaria High","suspended","07-JUL-1998",3879,"development","Northern Endeavour","Corallina","off",-408,"AC/L5","PSLA","Woodside Offshore Petroleum","Sedco Forex","","02-JUL-1998","20-JUL-1998","rotary table",30.5,"","Petroleum","","3","","","0","0","0","0","0"
"Corallina 4","",466376,"","AC",-10.5910722,125.9612889,Longitude / Latitude (GDA 94),51,824075.752,"8827695.01","Bonaparte Basin/Flamingo High;Laminaria/Flamingo High;Laminaria","Bonaparte Basin/Laminaria High","completed","19-AUG-2008",3384,"development","","Corallina","off",-408,"AC/L5","OPGGSA","Woodside Petroleum","Transocean","","02-AUG-2008","25-AUG-2008","rotary table",26.4,"Result unreported, assumed oil producer.","Petroleum","","","","","0","0","0","0","0"
"Cromwell 1","",10169,"W8200105","AC",-11.2759025,124.7825713,Longitude / Latitude (GDA 94),51,694580.782,"8752921.622","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Ashmore Platform","abandoned","15-OCT-2001",396,"exploration","","none","off",-340.5,"AC/P18","PSLA","OMV Australia Pty Ltd","Diamond Offshore","","15-OCT-2001","04-NOV-2001","rotary table",22,"Respudded as Cromwell 1A.Cromwell 1 was spudded and drilled to TD of 397m where local hard ground prevented the running of the 30inch casing. The well was terminated and the rig winched 18m to the SE and re-spudded as Cromwell 1A. Seismic Reference: SP 1274 Line CW99-236 of 1999 Wilga MSS.There were no oil shows detectedduring drilling of the well. Minor solvent cut and residusl ring fluores. was observed in three sidwell cores over the interval from 1868mRT to 1872mRT. Total gas values ranged from 0.001% to 0.02%. No elevated gas readings above backgroung were seen throughout the section.","Petroleum","","5","","","0","0","0","0","0"
"Cromwell 1A","",10170,"W8200106","AC",-11.2761736,124.7825093,Longitude / Latitude (GDA 94),51,694573.829,"8752891.674","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Ashmore Platform","abandoned","30-OCT-2001",2032,"exploration","","none","off",-340.5,"AC/P18","PSLA","OMV Australia Pty Ltd","Diamond Offshore","","17-OCT-2001","04-NOV-2001","rotary table",22,"Cromwell 1A was drilled to evaluate the prospectivity of the Cromwell feature, a closure created by two NE-SW trending normal fault sets. The well reached TD at 2032m and encountered a stratigraphic sequence ranging from Tertiary to Mid-Jurassic. The primary objective (Plover Formation) was intersected 12m lower than prognosis. A reservoir intersection of +200m confirmed the existence and continuity of the Plover Fmn in this region. Reservoir quality was determined by wireline logging as excellent with 105.8m net, average porosity = 26% and average Vsh = 10.9%. No hydrocarbon shows were observed in the cuttings, wireline logs or mud gas although three SWC from 1868-1872m had slow diffuse, milky white cut and residual ring fluorescence, indicating a fossil hydrocarbon charge. The absence of hydrocarbon accumulation is attributed to a lack of Late-Jurassic to Mid-Cretaceous seal facies. The well was plugged and abandoned as a dry well on 4 November 2001. Seismic Reference: SP 1274 Line CW99-236 of 1999 Wilga MSSCromwell 1A is located approx. 18m on bearing of 168degrees from Cromwell 1. Final coordinates pending.","Petroleum","","18","","15","0","0","0","0","0"
"Crux 1","",10184,"W8200005","AC",-12.9426731,124.4538466,Longitude / Latitude (GDA 94),51,657708.542,"8568755.61","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","04-MAY-2000",3950,"exploration","","Crux","off",-168,"AC/P23","PSLA","Nippon Oil Exploration (Vulcan) Pty Ltd","Diamond Offshore","","16-APR-2000","25-MAY-2000","rotary table",26.5,"Crux 1 was spudded 16/4/2000. A 27m core was cut 3650-3677m MDRT after hydrocarbon indications were interpreted on MWD logs and in mud gas. A suite of open hole wire line logs between 3950-2110m MDRT also indicated the presence of hydrocarbons. Wireline pressure testing confirmed the presence of a hydrocarbon column at 3640-3884m MDRT. The Montara Formation was not intersected in the location of this well. Mid Jurassic sediments (ie the Plover Formation) were not present where expected, and the underlying strata are of early Jurassic to late Triassic age. The reservoir section has average porosity of 14%, permeability up to 5500mD. The well was plugged and abandoned as a gas discovery.Crux 1 is located 10km ENE of Circimus 1.","Petroleum","","558","39","94","2","0","0","37","0"
"Crux 2","",436007,"W0200601","AC",-12.9306056,124.4678472,Longitude / Latitude (GDA 94),51,659235.239,"8570081.823","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","13-FEB-2007",3926,"appraisal","","Crux","off",-157.7,"AC/P23","OPGGSA","Nexus Energy","Songa Offshore","","30-DEC-2006","20-APR-2007","rotary table",24.7,"","Petroleum","","6","9","1","0","0","0","0","9"
"Crux 2 ST1","",436001,"W0200701","AC",-12.9306056,124.4678472,Longitude / Latitude (GDA 94),51,659235.239,"8570081.823","Browse Basin/Caswell Sub-basin","Browse Basin","suspended","02-APR-2007",3419,"appraisal","","Crux","off",-157.7,"AC/P23","OPGGSA","Nexus Energy","Songa Offshore","","16-FEB-2006","20-APR-2007","rotary table",24.7,"","Petroleum","","7","","3","0","0","0","0","0"
"Crux 2 ST2","",568437,"","AC",-12.9306056,124.4678472,Longitude / Latitude (GDA 94),51,659235.239,"8570081.823","Browse Basin/Caswell Sub-basin","Browse Basin","suspended","02-APR-2007",4308,"appraisal","","Crux","off",-157.7,"AC/P23","OPGGSA","Nexus Energy","Songa Offshore","","19-MAR-2007","20-APR-2007","rotary table",24.7,"","Petroleum","","","","","0","0","0","0","0"
"Crux 3","",451468,"","AC",-12.9590694,124.4472278,Longitude / Latitude (GDA 94),51,656980.148,"8566945.961","Browse Basin/Caswell Sub-basin","Browse Basin","suspended","30-DEC-2007",4007,"appraisal","","Crux","off",-168,"AC/P23","OPGGSA","Nexus Energy","Transocean Sedco Forex","","07-DEC-2007","23-JAN-2008","rotary table",26.4,"","Petroleum","","297","","2","0","0","0","0","0"
"Crux 4","",451497,"","AC",-12.9647139,124.4606083,Longitude / Latitude (GDA 94),51,658428.238,"8566313.312","Browse Basin/Caswell Sub-basin","Browse Basin","suspended","18-FEB-2008",3944,"appraisal","","Crux","off",-167.1,"AC/P23","OPGGSA","Nexus Energy","Transocean Sedco Forex","","24-JAN-2008","01-MAR-2008","rotary table",26.4,"","Petroleum","","2","","","0","0","0","0","0"
"Cypress 1","",10218,"W8910011","AC",-12.1051562,125.0204169,Longitude / Latitude (GDA 94),51,719896.974,"8661005.05","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","18-JUN-1991",1822,"exploration","","none","off",-100,"AC/L3","PSLA","BHP Petroleum Pty Ltd","Diamond M","","10-JUN-1991","23-JUN-1991","kelly bushing",22,"The well proved a total of 290m gross of good reservoir quality sands in the Plover and Nome Formations.Plugged and abandoned, dry. PTD 1826m No hydrocarbons were encountered in Cypress 1 but the well proved excellent reservoirs in the Plover and Nome Formations. A total of 290m gross of good reservoir quality sands were intersected in these two Formations with an average porosity of 26% and a sand/shale ratio of 77% RFT results show that there is a 7psi depletion in the Nome Fm and 16psi depeletion in the Plover/Nome Fm compared to the Challis field, indicating communication between the two.Cypress 1 is located approx. 2km N of the Challis oil field.","Petroleum","","22","","9","0","0","0","0","0"
"Delamere 1","",10521,"W8900022","AC",-11.9990834,125.3054533,Longitude / Latitude (GDA 94),51,751032.705,"8672497.323","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","20-AUG-1990",1530,"exploration","","Delamere","off",-101,"AC/P4","PSLA","BHP Petroleum Pty Ltd","Diamond M","","10-AUG-1990","26-AUG-1990","rotary table",22,"Plugged and abandoned, dry. PTD 1500m A sample was obtained, using the RFT tool, at 1274m KB in an interval which had exhibited a significant gas anomaly while drilling and a resitivity anomaly on electric logs. The sample consisted of 31.5cf of gas, with a trace of oil and 1800ML of filtrate. RFT pretests indicate a 9m gas column over interval 1267.5m KB to 1276.6m KB. The plotted pretest values indicate a gas gradient of 0.17PSI/m. The well encountered reservoir sands in the Late Jurassic Upper Vulcan Fm (1267-1288m), which exhibited 18.8m of nett porous sand with an ave. porosity of 26.8%, using a porosity cut-off of 20% and an overall net/gross ratio of 90%. The hydrocarbon bearing interval was identified as 1267.5m to 1276m (gas down to), which contained 9.5m of nett sand with an ave. porosity of 28.4% and an ave. hydrocarbon saturation of 69% No hydrocarbon/water contact could be identified from logs, however the RFT interpretation placed a contact at 1276.6m (1254.6mss). The Triassic Pollard Fm (1288-1531m) exhibited 46.6m of nett porous sand with an ave porosity of 21.6%, using a porosity cut-off of 15%, and a nett/gross ratio of 22%. The interval is entirely water saturated.Delemere 1 is located in the Timor sea, 8km NW of Ibis 1 and approx 600km W of Darwin. Line HJ9-965 SP 293 was shot in the HJ9 Marine Seismic Survey (see UNO S8870009, PSLA No 87/17).","Petroleum","","269","16","72","0","0","0","16","0"
"Delta 1","",10547,"W8880004","AC",-12.6476907,123.9716122,Longitude / Latitude (GDA 94),51,605514.194,"8601628.412","Bonaparte Basin/Ashmore Platform","Browse Basin","abandoned","10-APR-1988",2900,"exploration","","none","off",-205,"AC/P1","PSLA","Elf Aquitaine Exploration Australia Pty Ltd","Atwood Oceanics","","28-FEB-1988","16-APR-1988","kelly bushing",25,"Delta-1 was primarily designed to test Upper Cretaceous sand bodies expected to be filled by source rocks from the nearby Northern Browse Basin. No significant shows were recorded during drilling. Log analysis indicates the presence of good to excellent,but water-wet reservoirs with thick draping shales sealing the primary objective. The secondary objectives lacked top seal or were absent. No tests were run and Delta-1 was plugged and abandoned as a dry hole. As the objectives were encountered very close to the predicted depth, there can be little doubt about the validity of the closed structure mapped at the Delta location. The well is therefore considered a valid,unsuccessful test of the Upper Cretaceous play concept. The initial well results suggest that hydrocarbon generation and/or migration appears to be the critical negative factor affecting the well results. The existence of generative source rocks in close proximity is now doubtful,even though the sedimentological understanding of the area would suggest thick Late Jurassic source could exist in the Northern Browse Basin. The lack of hydrocarbons in the trap might also be a result of a difficult migration path through the thick and almost unfaulted Campanian Marl undarlying the Upper Cretaceous reservoirs. Company Summary,WCR, 1988.Located 45km SW of Puffin field and 30km SSW of Prion 1.","Petroleum","","62","18","47","11","0","0","7","0"
"Dillon Shoals 1","",10581,"W8740001","AC",-11.237883,125.448244,Longitude / Latitude (GDA 94),51,767314.519,"8756604.014","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","26-MAY-1974",3970,"exploration","","none","off",-125,"NT/P15","PSLA","BOC of Australia Ltd","Atwood Oceanics Australia PTY Ltd","","04-FEB-1974","30-MAY-1974","rotary table",12,"The well was drilled to a total depth of 3970m and penetrated a section ranging in age from Pliocene to Permian. Apart from minor fluorescence in a Triassic sandstone there were no significant hydrocarbons in the well and log interpretation indicates the sandstones to be water saturated.Dillon Shoals 1 is located offshore in the Bonaparte Gulf Basin, Northern Territory.","Petroleum","","56","73","94","71","0","1","1","0"
"Dillon South 1","",577561,"","AC",-11.2749917,125.4292778,Longitude / Latitude (GDA 94),51,765208.504,"8752514.584","Bonaparte Basin Basin;Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","",,"exploration","None","none","off",-117.6,"AC/P4","OPGGSA","PTTEP Australia Timor Sea Pty Ltd","Stena Drilling Limited","","25-MAY-2014","19-JUN-2014","rotary table",25,"","Petroleum","","","","","0","0","0","0","0"
"Discorbis 1","",10620,"W8890009","AC",-12.8811025,123.814062,Longitude / Latitude (GDA 94),51,588322.521,"8575872.762","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","02-NOV-1989",4196,"exploration","","none","off",-202.5,"AC/P3","PSLA","BHP Petroleum Pty Ltd","Diamond M","","08-AUG-1989","21-NOV-1989","kelly bushing",22,"Discorbis 1 was plugged and abandoned with oil shows. Good sandstone reservoirs were encountered at the top of the Puffin Formation Clastics with porosities of approximately 24%. No sandstones were observed in the Echuca Shoals Formation and Upper Vulcan Formation. Good hydrocarbon shows were encountered in sandstones at the base of the the Puffin Formation (3395-3426mKB) and in the Woolaston Formation (3521-3542mKB). Both intervals have been interpretated to contain residual hydrocarbons. An analysis of the oil staining taken from SWC's shot at 3400 mKB and 3527 mKB suggest the hydrocarbons are likely to have been sourced from the Echuca Shoals Formation. A moderately good source rock with an average TOC of 1.79% present over approximately 85 m (3890 - 3975 mKB). Hydrocarbons have been expelled from the unit and it has generated both oil and gas. The timing of hydrocarbon migration into the structure is uncertain. However basin modelling would suggest migration would have commenced from Late Cretaceous to Early Tertiary times.Located 17km NW of Kalyptea 1 and 700km W of Darwin.","Petroleum","","111","153","162","138","0","0","15","0"
"Discorbis 1 ST1","",10621,"W8890024","AC",-12.8811025,123.814062,Longitude / Latitude (GDA 94),51,588322.521,"8575872.762","Browse Basin/Caswell Sub-basin","Browse Basin","abandoned","14-NOV-1989",4165,"exploration","","none","off",-202.5,"AC/P3","PSLA","BHP Petroleum Pty Ltd","Diamond M","","07-NOV-1989","21-NOV-1989","kelly bushing",22,"Several attempts to KO from 4060 to 4160 failed due to the drill following the previous hole down to the top of the fish.Discorbis 1 was plugged and abandoned with oil shows. Good sandstone reservoirs were encountered at the top of the Puffin Formation Clastics with porosities of approximately 24%. No sandstones were observed in the Echuca Shoals Formation and Upper Vulcan Formation. Good hydrocarbon shows were encountered in sandstones at the base of the the Puffin Formation (3395-3426mKB) and in the Woolaston Formation (3521-3542mKB). Both intervals have been interpretated to contain residual hydrocarbons. An analysis of the oil staining taken from SWC's shot at 3400 mKB and 3527 mKB suggest the hydrocarbons are likely to have been sourced from the Echuca Shoals Formation. A moderately good source rock with an average TOC of 1.79% present over approximately 85 m (3890 - 3975 mKB). Hydrocarbons have been expelled from the unit and it has generated both oil and gas. The timing of hydrocarbon migration into the structure is uncertain. However basin modelling would suggest migration would have commenced from Late Cretaceous to Early Tertiary times.Located 17km NW of Kalyptea 1 and 700km W of Darwin.","Petroleum","","3","","","0","0","0","0","0"
"Douglas 1","",10687,"W8900033","AC",-11.798731,124.941817,Longitude / Latitude (GDA 94),51,711577.327,"8694968.829","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","24-NOV-1990",2754,"exploration","","none","off",-196,"AC/P11","PSLA","Western Mining Corporation Ltd","Zapata","","26-OCT-1990","03-DEC-1990","rotary table",29,"Reservoir quality sandstones were intersected from 2452mRT to TD.Plugged and abandoned, dry. Post drilling, the Douglas structure is interpreted to be a horst to Upper Jurassic level with a superimposed 'hour glass' Tertiary Fault pattern. Reservoir quality sandstones were intersected from 2452mRT to TD. These comprised Upper Jurassic (Tithonian) Upper Vulcan Fm Sst 33m thick, Lower Jurassic (Hettangian to Toarcian) Plover Fm Sst (57m thick) and Triassic Malita and Nome Fm Sst. Sealing lithologies were intersected (marls, claystones and siltstones) in the Bathurst Island Group formations overlying the reservoir lithologies. The Bathurst Island Group is faulted at various levels and may therefore constitute a breached seal. Good source rock potential in the Echuca Shoals Fm. Formation with Tmax and Hl values indicative of dominantly oil generation. Background gas first appeared at approximately 2108m, immediately above the Palaeocene-Cretaceous boundary. The gas (methane only) may have been sourced up the Douglas Fault, which was intersected just below this depth, as the source rocks at this depth are immature. Sporadic traces of methane gas only were intersected from this depth down to TD. No heavier hydrocarbon homologues were detected. No hydrocarbon fluorescene was detected in any cuttings or sidewall core samples, apart from at 2490.5m (Top Plover Fm) and 2543m (Top Malita Fm).Located 1.8km NE of Octavius 1. Sited on line KM90-300 CDP 1060 shot in the KYM Marine Seismic Survey See UNO S8900001, PSLA No. 90/01","Petroleum","","51","80","69","0","0","0","80","0"
"East Corallina 1","",10821,"W8970013","AC",-10.5905264,125.9878453,Longitude / Latitude (GDA 94),51,826985.059,"8827727.654","Bonaparte Basin/Flamingo High;Laminaria","Bonaparte Basin/Laminaria High","suspended","08-DEC-1997",3527,"development","Northern Endeavour","none","off",-404.5,"AC/L5","PSLA","Woodside Offshore Petroleum","Sedco Forex","","16-NOV-1997","19-DEC-1997","rotary table",30.5,"Completed as a gas injection well.East Corallina 1 is a gas injection well for the Laminaria-Corallina Floating Production, Storage and Off-take vessel (FPSO). It was targeted on water filled reservior rocks of the Laminaria and Plover Formations on the eastern end of the Corallina structure. The well was drilled using the semi-submersible rig Sedco 703. It was spudded on the 05:45 hours on 16 November 1997 and was plugged and suspensed at a total depth of 3527mRT on 8 December 1997. The well encounted a good quality reservior in both formations and, as planned, no hydrocarbons were observed or interpreted.East Corallina 1 is situated offshore in the Timor Sea, approximately 570km northwest of Darwin. The well is located on the eastern flank of the Corallina Field, some 3.4 km east of Corallina 1 and 6 km west-northwest of Laminaria 1.","Petroleum","","2","","","0","0","0","0","0"
"East Swan 1","",10894,"W8780001","AC",-12.300589,124.583507,Longitude / Latitude (GDA 94),51,672205.848,"8639700.403","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","23-MAR-1978",3038,"exploration","","East Swan","off",-103,"NT/P2","PSLA","ARCO","South Seas Drilling","","21-JAN-1978","02-APR-1978","kelly bushing",21.3,"A thick sequence of sedimentary rocks, ranging in age from Recent to Middle-Lower Jurassic was penetrated. Several oil and gas shows were indicated in the Paleocene, Cretaceous and Jurassic sections. Subsequent formation interval tests in the Cretaceous and Jurassic revealed that only minor quantities of oil and gas were present in these sections.East Swan 1 is located offshore in the Vulcan Sub-Basin, Northern Territory, 16km SE of Swan 1.","Petroleum","","146","140","66","82","0","58","0","0"
"East Swan 2","",10895,"W8890015","AC",-12.2912969,124.5847537,Longitude / Latitude (GDA 94),51,672347.514,"8640727.488","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","24-OCT-1989",2855,"appraisal","","none","off",-104,"AC/P2","PSLA","BHP Petroleum Pty Ltd","Maretech Ocean Services","","22-SEP-1989","01-NOV-1989","kelly bushing",17.7,"East Swan-2 was spudded at 1200 hours on the 22nd September 1989 by the drillship 'Energy Searcher'. The 26 inch bit/36inch hole opener was used to drill from the sea bed (122 mKB) to a depth of 173 mKB, with the 30 inch casing being run and cemented at 167 mKB. The 26inch hole was then drilled to a depth of 457mKB using 17.5 inch bit 26 inch hole opener, with generally good returns to the sea floor. The 20 inch casing was run and cemented at 451 MKB. The BOP stack and marine riser were then run prior to drilling out the shoe. The 17.5 inch hole section was drilled from 457-1870 mKB. Circulation was lost at 1587 mKB and not regained prior to reaching TD for the hole section. An intermediate logging suite was carried out at 1870 mKB comprising a DLL-MSFL-SLS-GR run, an LDL-CNL-NGS-ML run, a VSP and a 30 shot CST-GR run. 22 sidewall cores were recovered. The 13-3/8 inch casing was run and cemented at 1864 mKB. The 12-1/4 inch hole section was drilled without problems from the 1870-2609 MKB with a 97% recovery. The 12-1/4 inch hole was then deepened to a total depth of 2855 mKB. TD wireline logging was carried out at this point. 47/60 sidewall cores were recovered.East Swan 2 is located approximately 1km north of East Swan 1 and 4km southeast of Eclipse 1, also approximately 700km W of Darwin. East Swan 2 was located on Seismic line HV6-442 CDP 700. Water depth at location was 104m.","Petroleum","","448","76","53","56","0","1","19","0"
"Eclipse 1","",10909,"W8840017","AC",-12.2701159,124.6200698,Longitude / Latitude (GDA 94),51,676203.286,"8643047.668","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","25-APR-1984",3003,"exploration","","none","off",-107,"NT/P2","PSLA","BHP Petroleum Pty Ltd","Atwood Oceanics Australia PTY Ltd","","16-MAR-1984","02-MAY-1984","rotary table",8.3,"Eclipse 1 was plugged and abandoned, after reaching a total depth of 3003m. Minor hydrocarbon fluorescence was encountered at the top of the basal Upper Jurassic sandstone, however the testing and log analysis indicated no significant hydrocarbons. The structure and stratigraphy encountered were as prognosed. This well highlights the compexity of source/migration patterns in this region.Eclipse 1 is located 5.2km NE of East Swan 1, and approx. 700km west of Darwin in the Territory of Ashmore and Cartier Islands.","Petroleum","","95","31","60","30","0","1","0","0"
"Eclipse 2","",10911,"W8860010","AC",-12.2370461,124.6448675,Longitude / Latitude (GDA 94),51,678923.322,"8646689.57","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","03-JUL-1986",2930,"exploration","","Eclipse","off",-117,"AC/P2","PSLA","BHP Petroleum Pty Ltd","Atwood Oceanics Australia PTY Ltd","","17-MAY-1986","12-JUL-1986","kelly bushing",8.3,"The only oil show encountered within the 348m Upper Jurassic section was in a thin Oxfordian sand, between 2458.5 to 2461.5 mKB. Core 2 (2460.9 - 2466.0m, oil show section) porosity = average 17%; range =10.9% - 21.8% permeability = average 622 md; range = 516-746 md. Fluoresence was encountered in the Middle Jurassic with sandstone between 2787.0 to 2799.0 mKB, but was only residual oil. The log derived porosities ranged from 13% to 18% between 2787.0m to 2800.0m (Upper Jurassic), for the residual oil bearing sands. Interference from complex faulting created poor seismic resolution near the main bounding fault. As a result Eclipse 2 was drilled within a stair-step fault.Located 60km SW of Jabiru-1A and 700km W of Darwin.","Petroleum","","856","77","49","29","0","5","43","0"
"Elasmosaurus 1","",10933,"W8200014","AC",-12.2293085,124.6823704,Longitude / Latitude (GDA 94),51,683009.155,"8647520.411","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","09-JAN-2001",1484,"exploration","","none","off",-112.9,"AC/P21","PSLA","Coastal Oil and Gas Corporation","Diamond Offshore","","02-DEC-2000","16-JAN-2001","rotary table",22,"Elasmosaurus 1 was spudded 2/12/00. Encouraging signs of hydrocarbons were first noticed while drilling through the Oliver Sandstone when elevated cuttings gas was detected. This zone was comprehensively logged and displayed a washed out sandstone section with interbedded hard layers of limestone. Difficulty was experienced drilling through the Grebe sandstone and the well was sidetracked.Elasmosaurus 1 is located 4km E of Vulcan 1 and 6km SSW of Elm 1.","Petroleum","","3","","","0","0","0","0","0"
"Elasmosaurus 1 ST1","",10934,"W8200018","AC",-12.2293085,124.6823704,Longitude / Latitude (GDA 94),51,683009.155,"8647520.411","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","09-JAN-2001",2920,"exploration","","none","off",-112.9,"AC/P21","PSLA","Coastal Oil and Gas Corporation","Diamond Offshore","","20-DEC-2000","16-JAN-2001","rotary table",22,"After drilling through the Grebe section, the well proceeded to evaluate the main target zones of the intra-Oxfordian and Plover Formation. A good sandstone reservoir was intersected with hydrocarbon shows associated with it in the middle of the Oxfordian (as predicted), but no hydrocarbon shows were apparent on the LWD. The Plover section yielded oil shows only in sidewall cores obtained at the end of the well. Open hole logs showed the Jurassic target reservoirs to be all water saturated and consequently the well was plugged and abandoned. A 51m gross palaeo-oil column was subsequently proven by fluid inclusion work to be present in the well over the Lower Vulcan Oxfordian section. This suggests that a structurally (or perhaps stratigraphically) trapped oil accumulation subsequently leaked up/across a fault or by tilting of the trap.Elasmosaurus 1 is located 4km E of Vulcan 1 and 6km SSW of Elm 1.","Petroleum","","38","5","9","5","0","0","0","0"
"Elm 1","",10948,"W8930011","AC",-12.17109,124.681188,Longitude / Latitude (GDA 94),51,682920.446,"8653961.533","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","27-DEC-1993",3060,"exploration","","none","off",-110,"AC/P2","PSLA","BHP Petroleum Pty Ltd","Diamond Offshore","","15-NOV-1993","05-JAN-1994","rotary table",22,"Plugged and abandoned, dry. PTD 3022m","Petroleum","","138","","41","0","0","0","0","0"
"Fagin 1","",11030,"W8900001","AC",-11.5700695,125.1391088,Longitude / Latitude (GDA 94),51,733274.113,"8720112.833","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","08-MAR-1990",3262,"exploration","","none","off",-264,"AC/P6","PSLA","BHP Petroleum Pty Ltd","Diamond General","","05-FEB-1990","13-MAR-1990","kelly bushing",22,"The well encountered the reservoir sandstones close to prognosed depth but no hydrocarbons were encountered. In addition, a seal of Upper and Lower Vulcan claystones and siltstones were present similiar to Oliver 1. Subsequently, it is concluded that the poor resolution of seismic data has misled the interpretion of a closed structure. The well was Plugged and abandoned, dry.Fagin 1 is located in Permit AC/P6 in the Timor Sea, 14km NE of Oliver 1 and approx. 600km W of Darwin","Petroleum","","308","33","19","12","0","0","21","0"
"Fannie Bay 1","",11095,"W8980010","AC",-10.7487958,125.938551,Longitude / Latitude (GDA 94),51,821419.364,"8810257.87","Bonaparte Basin/Sahul Syncline","Bonaparte Basin/Nancar Trough","abandoned","25-AUG-1998",4190,"exploration","","none","off",-290,"AC/P16","PSLA","Woodside Energy Ltd.","Diamond Offshore","","14-JUL-1998","25-AUG-1998","rotary table",22,"Fannie Bay 1 is located 17km Sw of Laminaria 2, approx. 570km WNW of Darwin and 190km S of Timor.","Petroleum","","264","12","85","4","0","0","8","0"
"Fish River 1","",11113,"W8980002","AC",-11.2097025,125.0273487,Longitude / Latitude (GDA 94),51,721360.331,"8760071.937","Bonaparte Basin/Vulcan Sub-basin","Bonaparte Basin/Vulcan Sub-basin","abandoned","26-FEB-1998",1864,"exploration","","none","off",-475.86,"AC/P15","PSLA","Santos Limited","Atwood Oceanics Australia PTY Ltd","","15-FEB-1998","27-MAR-1998","rotary table",21,"Sidetracked - fish stuck in hole. Initial TD 1864m; KO1 1363 to Final TD 3034m. No significant gas or fluorescence shows were observed while drilling. No production tests were conducted. Measurement While Drilling data did not exhibit any log anomaly after penetrating the primary target. Fish River 1 was plugged and abandoned as a dry well.Fish River 1 is located 33km W of Voltaire 1.","Petroleum","","6","","","0","0","0","0","0"
